iter	Accuracy	Logloss
692	0.9162820009	0.2191244172
693	0.9162496836	0.2190625088
694	0.9163143182	0.2190000552
695	0.9163412493	0.2189449105
696	0.9163412493	0.2188875932
697	0.9163681804	0.218828492
698	0.9163897252	0.2187670853
699	0.9164058839	0.2187085846
700	0.9164705185	0.2186406667
701	0.9164920634	0.2185802463
702	0.9165351532	0.2185252258
703	0.9165513118	0.2184756857
704	0.916556698	0.2184211332
705	0.9165351532	0.2183608649
706	0.9166213327	0.2183065908
707	0.9166267189	0.2182433774
708	0.9167075122	0.2181774863
709	0.9167559881	0.2181124904
710	0.9167667606	0.2180556909
711	0.9167990779	0.2179960701
712	0.9167990779	0.2179443113
713	0.9168906436	0.2178821962
714	0.9168529401	0.2178279216
715	0.9169283471	0.217767826
716	0.9169121885	0.2177136903
717	0.9169175747	0.2176561842
718	0.9169121885	0.2176021219
719	0.9169283471	0.2175521499
720	0.9169822093	0.2174948899
721	0.9170037542	0.2174428574
722	0.9170791613	0.2173879606
723	0.9170360715	0.2173363377
724	0.9170414577	0.2172782077
725	0.9170630026	0.2172193249
726	0.9170845475	0.2171675189
727	0.9170899337	0.2171127597
728	0.9171653408	0.2170565322
729	0.9171653408	0.216991968
730	0.9172138167	0.2169379738
731	0.9172569065	0.2168782276
732	0.91729461	0.2168333332
733	0.9172999962	0.2167828894
734	0.9173107687	0.2167260601
735	0.9173754033	0.2166685099
736	0.9173969482	0.2166141546
737	0.9174400379	0.2165581727
738	0.9174292655	0.2165078568
739	0.9174400379	0.2164452977
740	0.9174400379	0.2163957848
741	0.9174777415	0.2163494371
742	0.9174723552	0.2162931267
743	0.9174615828	0.2162351162
744	0.9174723552	0.2161782392
745	0.9175693072	0.2161213128
746	0.9175531485	0.2160636681
747	0.9176016245	0.2160069929
748	0.9176231694	0.2159496159
749	0.9176339418	0.2158886517
750	0.9177039626	0.2158307621
751	0.9176985764	0.2157821433
752	0.9177147351	0.2157275452
753	0.9177255075	0.2156762225
754	0.9177416662	0.2156183628
755	0.9177901421	0.2155717758
756	0.9177955284	0.2155155034
757	0.9178224595	0.2154704636
758	0.9177793697	0.2154191696
759	0.9178278457	0.2153678307
760	0.9178224595	0.2153138522
761	0.9178655492	0.215263021
762	0.9179032527	0.2152155659
763	0.9179140252	0.2151623227
764	0.9179571149	0.2151093844
765	0.9179948185	0.2150470093
766	0.9179894322	0.2149910067
767	0.9180379082	0.2149369931
768	0.9179948185	0.2148899386
769	0.9180756117	0.2148362717
770	0.9181887223	0.214773122
771	0.9181941086	0.214723175
772	0.9181994948	0.2146674986
773	0.9182479707	0.2146149392
774	0.9182587432	0.2145504522
775	0.9182910605	0.2144943993
776	0.9183341502	0.214438494
777	0.9183395365	0.2143867176
778	0.9183341502	0.2143377059
779	0.918328764	0.2142833161
780	0.9183449227	0.2142221753
781	0.9183880124	0.2141748838
782	0.9183664676	0.2141200182
783	0.9184526471	0.2140691407
784	0.9184634195	0.2140217281
785	0.9184688057	0.2139779962
786	0.9184526471	0.2139339153
787	0.9184903506	0.2138831147
788	0.9185819163	0.2138330789
789	0.9185280541	0.2137799939
790	0.9185280541	0.2137306479
791	0.9185603714	0.2136912974
792	0.9185819163	0.2136348422
793	0.918598075	0.2135789101
794	0.9185765301	0.2135228263
795	0.9186357785	0.2134762806
796	0.9186357785	0.2134252535
797	0.9186303923	0.2133736085
798	0.9186303923	0.2133219333
799	0.918721958	0.2132688366
800	0.918770434	0.213214553
801	0.9187758202	0.213165638
802	0.918770434	0.2131130726
803	0.9188566135	0.213052776
804	0.9188027513	0.2130031341
805	0.9188189099	0.2129559221
806	0.9188889308	0.2128923029
807	0.9189212481	0.2128412028
808	0.9188889308	0.2127825269
809	0.9189266343	0.2127407149
810	0.9189966552	0.2126854329
811	0.9190128138	0.2126350898
812	0.9190343587	0.2125799371
813	0.9190612898	0.2125243747
814	0.919115152	0.2124722157
815	0.9191043795	0.2124250467
816	0.9190989933	0.2123761342
817	0.9191205382	0.2123288465
818	0.9191744004	0.2122785769
819	0.9191690142	0.2122231766
820	0.9192121039	0.2121668394
821	0.919190559	0.2121247604
822	0.9191851728	0.2120746291
823	0.9191959453	0.2120223481
824	0.9192228763	0.2119693124
825	0.9192928972	0.2119193009
826	0.9193036696	0.2118680629
827	0.9193144421	0.2118193771
828	0.9192982834	0.2117717138
829	0.9193144421	0.211716985
830	0.9193036696	0.2116702928
831	0.9193736905	0.2116181901
832	0.9193844629	0.2115692997
833	0.9193844629	0.2115181438
834	0.9194006216	0.2114668171
835	0.9193952354	0.2114267469
836	0.9193952354	0.2113722948
837	0.9194490975	0.2113199935
838	0.9195083459	0.2112697229
839	0.9194975735	0.2112205564
840	0.9194814149	0.2111631461
841	0.9195191184	0.2111129571
842	0.9195514357	0.2110637766
843	0.9195622081	0.2110201711
844	0.9196214565	0.210965395
845	0.919632229	0.2109127852
846	0.9196645463	0.2108711901
847	0.9197184085	0.2108258478
848	0.9197345671	0.2107781478
849	0.919804588	0.2107281892
850	0.9197776569	0.2106822959
851	0.9197938155	0.2106328626
